Framing
Headshot,45
Bust,50
Halfbody,55
Thighup,60
Fullbody,65

Backgrounds
None,0
Abstract,15
Simple Scene,30

Addons
Props,10
Shading,10
No Color,8
Unclear Reference,8,12
